identifier,bucket,created_at,started_at,completed_at
AIP-155,OCE,2026-07-20T19:33:56Z,2026-07-20T19:39:21Z,2026-07-20T19:53:39Z
AIP-152,OCE,2026-07-20T16:26:19Z,2026-07-20T16:26:19Z,2026-07-20T19:29:18Z
AIP-144,OCE,2026-07-20T13:48:10Z,2026-07-20T13:48:10Z,2026-07-20T19:20:13Z
AIP-137,OCE,2026-07-19T19:04:16Z,2026-07-19T19:15:09Z,2026-07-20T19:19:52Z
AIP-150,OCE,2026-07-20T15:16:14Z,2026-07-20T15:16:14Z,2026-07-20T19:17:36Z
AIP-146,OCE,2026-07-20T14:03:05Z,2026-07-20T14:03:05Z,2026-07-20T19:17:17Z
AIP-149,OCE,2026-07-20T14:56:57Z,2026-07-20T15:06:00Z,2026-07-20T19:16:56Z
AIP-151,OCE,2026-07-20T15:31:21Z,2026-07-20T15:31:21Z,2026-07-20T19:16:33Z
AIP-148,OCE,2026-07-20T14:40:57Z,2026-07-20T14:40:57Z,2026-07-20T19:16:02Z
AIP-147,OCE,2026-07-20T14:22:54Z,2026-07-20T14:22:54Z,2026-07-20T19:15:38Z
AIP-143,OCE,2026-07-20T13:46:30Z,2026-07-20T13:56:36Z,2026-07-20T19:13:53Z
AIP-138,OCE,2026-07-20T06:35:22Z,2026-07-20T06:35:22Z,2026-07-20T07:05:04Z
AIP-126,OCE,2026-07-16T21:14:58Z,2026-07-17T20:49:13Z,2026-07-20T06:38:31Z
AIP-135,CurricAlign,2026-07-17T16:39:20Z,2026-07-17T16:42:17Z,2026-07-20T13:39:21Z
AIP-59,CurricAlign,2026-06-29T03:25:34Z,2026-07-20T11:22:07Z,2026-07-20T12:06:57Z
AIP-58,CurricAlign,2026-06-29T03:25:18Z,2026-07-20T11:22:02Z,2026-07-20T11:42:20Z
AIP-57,CurricAlign,2026-06-29T03:25:02Z,2026-07-20T10:26:27Z,2026-07-20T10:50:01Z
AIP-86,CurricAlign,2026-07-14T17:10:15Z,2026-07-16T09:27:28Z,2026-07-16T12:57:25Z
AIP-125,CurricAlign,2026-07-16T12:10:42Z,2026-07-16T12:16:28Z,2026-07-16T12:51:36Z
AIP-90,AilaEval,2026-07-15T10:51:06Z,2026-07-15T16:10:50Z,2026-07-16T15:47:59Z
AIP-92,AilaEval,2026-07-15T10:51:06Z,2026-07-15T15:56:16Z,2026-07-16T15:47:57Z
AIP-91,AilaEval,2026-07-15T10:51:06Z,2026-07-15T15:56:13Z,2026-07-15T16:10:26Z
AIP-89,AilaEval,2026-07-15T10:51:06Z,2026-07-15T15:56:28Z,2026-07-15T16:10:23Z
AIP-93,AilaEval,2026-07-15T12:04:24Z,2026-07-15T12:04:30Z,2026-07-15T15:24:56Z
MCP-13,MCP,2026-07-13T15:23:50Z,2026-07-13T15:23:50Z,2026-07-14T10:27:08Z
MCP-12,MCP,2026-07-13T15:23:31Z,2026-07-13T15:23:31Z,2026-07-13T17:48:10Z
